x,y,z,xt,yt,zt
2.271451, -0.549108, -1.501522, , , 
2.796908, -1.039479, -2.121980, , , 
1.437543, 0.289671, -0.958850, , , 
2.052156, -0.467200, -1.286479, , , 
1.120985, -0.146375, -0.915773, , , 
1.415208, 0.159269, -1.013031, , , 
2.242802, -0.941815, -1.871819, , , 
0.997183, -0.026167, -1.027357, , , 
0.961427, 0.124299, -1.083616, , , 
1.242411, -0.319233, -0.835274, , , 
1.328896, 0.047607, -0.952296, , , 
0.844197, 0.116255, -0.998724, , , 
0.836937, -0.123768, -1.266637, , , 
1.054583, 0.263154, -0.619711, , , 
0.560960, 0.164358, -0.865392, , , 
1.264129, -0.350304, -1.053242, , , 
1.152540, -0.361049, -0.818037, , , 
1.251338, 0.203760, -0.960843, , , 
0.629135, 0.250049, -0.965895, , , 
2.451067, -0.552106, -1.654786, , , 
1.128777, 0.161366, -1.017752, , , 
0.836948, 0.017876, -1.093147, , , 
1.532214, 0.357572, -0.952375, , , 
1.399589, 0.276599, -0.910031, , , 
0.485680, -0.234416, -0.956151, , , 
1.527904, 0.175389, -1.028316, , , 
0.881001, -0.420496, -0.903840, , , 
1.037631, -0.034027, -1.148312, , , 
0.761508, 0.237268, -0.934035, , , 
0.577777, 0.257659, -0.972642, , , 
0.495466, -0.120672, -1.053649, , , 
0.318942, 0.049377, -0.979033, , , 
1.216337, -0.297953, -0.787224, , , 
2.263836, -0.699919, -1.799562, , , 
0.426493, 0.005623, -1.076442, , , 
0.340943, -0.393826, -1.488847, , , 
0.428103, -0.138668, -1.092696, , , 
0.628298, 0.239419, -0.906363, , , 
0.316630, 0.049038, -0.984241, , , 
1.002910, 0.063863, -1.069558, , , 
1.469393, 0.163009, -1.084604, , , 
2.285267, -0.562773, -1.524162, , , 
2.286199, -0.721165, -1.760214, , , 
0.312420, -0.018674, -1.150795, , , 
0.573305, -0.592206, -1.194880, , , 
1.167302, -0.145620, -1.036627, , , 
1.433471, 0.149224, -1.123882, , , 
0.790866, 0.238451, -0.955197, , , 
0.436935, -0.132698, -1.024758, , , 
0.682393, 0.130328, -0.996787, , , 
0.312560, 0.001884, -0.962705, , , 
0.961706, 0.145742, -1.001568, , , 
0.089052, -0.461922, -1.631507, , , 
1.165000, 0.149328, -1.021692, , , 
0.498812, -0.208980, -1.354172, , , 
0.780333, 0.121936, -1.003288, , , 
0.252683, -0.357978, -1.365388, , , 
-0.202512, -1.060998, -2.200691, , , 
-0.165228, -0.070600, -1.263288, , , 
0.469123, -0.399412, -1.499839, , , 
0.906510, 0.199956, -0.952632, , , 
-0.032357, -0.463999, -1.516323, , , 
0.304373, 0.137521, -1.034709, , , 
0.319590, 0.049065, -0.978586, , , 
-0.207213, -0.544038, -1.631660, , , 
-0.214567, -1.582014, -2.950466, , , 
0.599090, -0.669993, -1.446413, , , 
0.903825, 0.108698, -0.953493, , , 
0.845026, 0.116064, -0.998546, , , 
-0.053620, -0.162440, -1.293744, , , 
-0.055292, -0.121600, -1.255298, , , 
0.241250, -0.456804, -1.573450, , , 
-0.057201, -0.124225, -1.245803, , , 
-0.887567, -1.579677, -3.651335, , , 
0.380067, -0.048930, -1.069078, , , 
0.131744, 0.168986, -1.035710, , , 
-0.145942, -0.454431, -1.521112, , , 
-0.002789, 0.201851, -1.032843, , , 
0.279950, 0.217688, -0.987465, , , 
-0.218365, -0.716824, -1.804440, , , 
0.112911, -0.388060, -1.466034, , , 
0.484137, -0.228879, -0.952420, , , 
0.305638, 0.140578, -1.038215, , , 
0.566213, -0.630838, -1.706114, , , 
-0.203144, -1.069244, -2.222340, , , 
-0.812982, -0.819383, -3.002926, , , 
0.057452, 0.083114, -1.075173, , , 
-0.856434, -0.206427, -2.592229, , , 
0.263326, -0.462099, -1.623034, , , 
0.600014, -0.261311, -1.364354, , , 
0.303085, -0.471010, -1.609615, , , 
-0.191165, -1.019828, -2.116875, , , 
0.383306, -0.463485, -1.592774, , , 
0.610292, -0.378817, -1.482405, , , 
-0.886956, -0.895914, -3.262083, , , 
0.417323, -0.160541, -1.209907, , , 
0.195373, -0.031389, -1.231653, , , 
-0.136144, -0.489489, -1.557146, , , 
0.703699, -0.489363, -1.520715, , , 
0.591402, -0.548038, -1.499674, , , 
0.501808, -0.103605, -1.082788, , , 
0.398197, 0.003488, -1.057783, , , 
-0.210393, -0.556977, -1.655032, , , 
0.528759, -0.117485, -1.159879, , , 
0.022241, -0.354536, -1.480790, , , 
0.094227, -0.302846, -1.422660, , , 
0.110683, -0.558301, -1.627050, , , 
0.249931, 0.113809, -0.965109, , , 
0.197114, 0.084743, -1.082402, , , 
0.096050, -0.288549, -1.357073, , , 
0.334217, -0.531024, -1.584475, , , 
0.626864, -0.382595, -0.799419, , , 
-0.870073, -0.128881, -2.402569, , , 
-0.354040, -1.283544, -2.435316, , , 
0.193567, -0.007758, -0.944656, , , 
0.157974, -0.335363, -1.347196, , , 
-0.123192, 0.130447, -1.055716, , , 
0.381530, 0.042356, -1.075926, , , 
0.621896, -0.380945, -1.514130, , , 
0.576292, -1.188259, -2.501920, , , 
0.635717, -0.389061, -1.542911, , , 
0.029295, -0.441301, -1.567083, , , 
0.551674, -1.137878, -2.385666, , , 
-0.129129, -0.408496, -1.489270, , , 
0.211795, 0.109487, -1.068175, , , 
0.544286, -0.409429, -1.451803, , , 
-0.451126, -1.103582, -2.544944, , , 
0.046907, -0.001361, -1.180324, , , 
0.550355, -1.150734, -2.386587, , , 
0.070370, -0.306179, -1.413625, , , 
0.173840, -0.080865, -1.250580, , , 
0.280117, -0.217369, -1.285695, , , 
0.106512, -0.268887, -1.332516, , , 
0.094527, -0.121186, -1.269247, , , 
-0.668123, 0.039051, -2.099754, , , 
0.169635, -0.267657, -1.297476, , , 
0.075051, 0.131016, -1.085423, , , 
0.567834, -1.111694, -2.333756, , , 
-0.117834, -0.667320, -1.850743, , , 
0.404890, -0.034695, -1.133284, , , 
-0.168116, -0.403657, -1.469089, , , 
0.044620, 0.161775, -1.056896, , , 
-0.045708, -0.433289, -1.241584, , , 
0.246044, -0.439452, -1.550115, , , 
0.128547, 0.168935, -1.030263, , , 
0.338662, -0.158985, -1.253510, , , 
0.663228, -1.129313, -2.182621, , , 
-0.872577, -0.388085, -2.903783, , , 
0.208115, -0.302663, -1.327862, , , 
0.023703, 0.180554, -1.017853, , , 
0.483401, -0.311489, -1.434863, , , 
0.015007, -0.094914, -1.201103, , , 
0.094293, -0.305579, -1.423524, , , 
0.436965, -0.532654, -1.644817, , , 
0.667159, 0.093217, -0.069680, , , 
0.440180, -0.406342, -1.531813, , , 
0.289357, 0.210709, -0.993851, , , 
-0.051721, 0.088254, -1.092510, , , 
0.508809, -0.264671, -1.390037, , , 
-0.017464, -0.091906, -1.215470, , , 
0.958222, 0.142971, -0.994072, , , 
0.853554, -0.101450, -1.219797, , , 
0.481973, -0.070029, -1.066758, , , 
0.309449, -0.022157, -0.986382, , , 
1.142753, -0.043766, -0.983238, , , 
0.888106, -0.120398, -1.370278, , , 
0.718416, -0.036455, -1.191372, , , 
0.916733, 0.205706, -0.900997, , , 
0.402498, -0.035552, -1.145973, , , 
1.072049, -0.004424, -1.132479, , , 
1.033015, 0.250216, -0.913651, , , 
1.015405, 0.213718, -0.934347, , , 
1.198238, 0.324084, -0.862826, , , 
0.876021, 0.152031, -0.976749, , , 
0.906698, 0.208458, -0.890559, , , 
1.256893, 0.202692, -0.973979, , , 
